certificate_level_id,name,abbreviation,description
1,Beginner,A1,Розуміє та може говорити простими виразами та фразами, що стосуються повсякденних справ. Може представитися та відповісти на елементарні запитання про себе.. За CEFR - 90–100 навчальних годин, 1500 слів.
2,Elementary,A2,Розуміє нескладні висловлювання та може говорити на теми, пов’язані зі звичними справами, оперувати часто вживаними виразами та спілкуватися з іншими, якщо вони готові допомогти. За CEFR - 100–160 навчальних годин, 2500 слів.
3,Intermediate,B1,Розуміє основні моменти текстів на знайомі теми, може створити невеликий зв’язний текст на знайомі теми, описати свій досвід, мрії, надії та амбіції. За CEFR - 160–240 навчальних годин, 3500 слів.
4,Upper Intermediate,B2,Розуміє складні тексти та готова до спонтанних тем в розмові, здатна підготувати чіткий, детальний текст на широкий спектр тем та пояснити свою точку зору на актуальну проблему.
5,Advanced,C1,Розуміє складні та довгі тексти, гнучко використовує мову в академічних і професійних цілях, здатний створити чіткий та детальний текст на задану тему.
6,Proficient,C2,Розуміє все, що чує або читає, спілкується дуже вільно, розрізняє навіть тонкі відтінки значення фраз співрозмовника; може зібрати інформацію з різних джерел і викласти аргументи та твердження у зв’язному викладі.

